gacsid,prefLabelEn,altLabelsEn,notesEn,defsEn,btsEn
763,Benin,UF People's Republic of Benin; Dahomey; Benin People's Republic,SN Avoid confusion with Benin in Nigeria,"",BT Francophone Africa; West Africa
28603,Berlin,UF East Berlin; West Berlin,"","",BT Germany
175,Bermuda,"","","",BT North America
391,Bhutan,UF Kingdom of Bhutan,"","",BT South Asia
30511,Black Sea,"","","",BT seas
517,Bolivia (Plurinational State of),UF Bolivia; Republic of Bolivia; Plurinational State of Bolivia,"SN As of 7 April 2009, name changed from Bolivia to Plurinational State of Bolivia in accordance with 2009 constitutional decree. Short form: Bolivia (Plurinational State of). Source: UNTERM","",BT South America
382,Borneo,"",SN Use to refer to the island as a whole.,DF An island in the Malay Archipelago forming part of Malaysia in the northern region and part of Indonesia in the southern region.,BT Pacific Islands; South East Asia
553,Bosnia and Herzegovina,UF Republic of Bosnia and Herzegovina; Hercegovina; Bosnia-Herzegovina; Bosnia-Hercegovina; Hercegovina-Bosnia; Herzegovina; Bosnia; Herzegovina-Bosnia,"","",BT Mediterranean region; Balkans
571,Botswana,UF Republic of Botswana; Bechuanaland,"","",BT Southern Africa
13300,Brandenburg,"","","",BT New Laender
184,Brazil,UF Federative Republic of Brazil; Pará (Brazil); Alagoas; Acre (Brazil); Goiás; Para (Brazil); Para State (Brazil); Amapa; Roraima; Brasil; Rondonia; Tocantins; Formosa (Goiás); Minas Gerias; Sergipe,"","",BT Latin America; South America
27196,Brazil (Federal District),UF Federal district (Brazil); Brasilia; Distrito Federal,"","",BT Brazil
13855,British Columbia,"","","",BT Canada
487,British Indian Ocean Territory,UF Chagos Archipelago; BIOT,"","",BT geographical regions
490,British Virgin Islands,UF Tortola; Virgin Gorda; Jost Van Dyke; Virgin Islands (British); Anegada; Virgin Islands (UK),"","",BT Caribbean
16483,Brittany,"","","",BT France
676,Brunei Darussalam,UF Brunei,"","",BT Borneo
26251,Buenos Aires,"","","",BT Argentina
103,Bulgaria,UF People's Republic of Bulgaria,"SN The European country; for the fungal genus, use 'Bulgaria (Fungi)'.","",BT Eastern European region; Balkans
25606,Burgundy,"","","",BT France
244,Burkina Faso,UF Upper Volta; Republic of the Upper Volta; Bourkina Fasso,"","",BT Francophone Africa; West Africa
466,Burundi,UF Republic of Burundi,"","",BT Francophone Africa; East Africa; Central Africa
22834,Calabria,"","","",BT Italy
3115,California,"","","",BT Western States of USA
118,Cambodia,UF Democratic Kampuchea; Kampuchea; Khmer Republic,"","",BT South East Asia
436,Cameroon,UF United Republic of Cameroon; Cameroun,"","",BT Francophone Africa; Central Africa
16099,Campania,"","","",BT Italy
88,Canada,UF Canadian provinces,"","",BT North America
14122,Canary Islands,"","","",BT Spain
412,Canton and Enderbury Islands,UF Enderbury Island,"","",BT Kiribati
409,Cape Verde,UF Cape Verde Islands; Republic of Cape Verde; Republic of Cabo Verde; Cabo Verde; Carbo Verde; Boa Vista Island,"","",BT West Africa
6832,Caribbean,UF West Indies; Anguilla Island; Windward Islands; Leeward Islands; Lesser Antilles; Greater Antilles,"","DF The region including the Caribbean Sea, its islands, and the countries on its Central and/or South American coasts.",BT Americas
655,Caroline Islands,"","","",BT Pacific Islands
49,Cayman Brac,"","","",BT Caribbean
748,Cayman Islands,UF Grand Cayman; Little Cayman Island,"","",BT Caribbean
22729,Ceara,"","","",BT Brazil
20452,Central Africa,"UF Africa, Central","","",BT Africa South of Sahara
91,Central African Republic,UF Central African Empire; Oubangui-Chari; Ubangi-Shari,"","",BT Francophone Africa; Central Africa
10693,Central America,"UF America, Central; Mesoamerica","","",BT Americas
30178,Central Asia,UF Central Asian countries,"","",BT Asia
31204,Centre (France),UF Central France,"","",BT France
634,Chad,UF Tchad; Republic of Chad,"","",BT Francophone Africa; Central Africa
26695,Champagne Ardennes,"","","",BT France
26638,Chiapas,"","","",BT Mexico
27478,Chihuahua,"","","",BT Mexico
271,Chile,UF Chiloe; O'Higgins; Aysen; Bio-Bio; Curico; Nuble; Valdivia; Arauco; Santiago (Chile); Colchagua; Concepcion (Chile); Coquimbo; Osorno; Atacama; Magallanes; Valparaiso; Linares; Llanquihue; Republic of Chile; Cautin; Maule; Talca; Malleco; Antofagasta; Tarapaca,"","",BT Latin America; South America
112,China,"UF People's Republic of China; China People's Republic; CN (ISO 3166); Mainland China; Peking Region; Eastern China; Ningxia; Chinghai; Chongquing; North Western China; Mongolia, Inner; Tientsin; North Eastern China; Shanghai region; Shenyang; Ningsia-Hui; Qinghai; South Western China; Northern China; Peoples Republic of China; China, Mainland; China, People's Republic; Tianjin; Xian","","",BT East Asia
67,Christmas Island (Indian Ocean),"UF Christmas Island, Territory of; Territory of Christmas Island",SN Use for the island located at 10° 30' S latitude and 105° 40' E longitude in the Indian Ocean;  For Christmas Island (Kiritimati) at 1° 52' N latitude and 157° 20' W longitude in the Pacific Ocean USE Kiribati.,"DF An island in the Indian Ocean, located at 10° 30' S latitude and 105 40 E longitude, which is a territory of Australia.",BT Oceania; islands
24622,Coahuila,"","","",BT Mexico
334,Colombia,UF Republic of Colombia,"","",BT Latin America; South America
7984,Colorado,"","","",BT Western States of USA
265,Comoros,UF Comoro Islands; Etat Comorien; Moheli; Anjouan; Grande Comore; Union of the Comoros; KM (ISO 3166); Islamic Federal Republic of the Comoros; COM (ISO 3166); Angouan; Great Comoro,"","",BT Francophone Africa; Southern Africa; East Africa
394,Congo,"UF Republic of the Congo; Congo (Brazzaville); Middle Congo; People's Republic of the Congo; Congo Brazzaville; Congo PR; Congo, Republic of","","",BT Francophone Africa; Central Africa
17866,Connecticut,"","","",BT New England States of USA
292,Cook Islands,UF Hervey Islands,"","",BT Pacific Islands
23797,Corsica,"","","",BT France
52,Costa Rica,UF Republic of Costa Rica; Cocos Island (Pacific),"","",BT Latin America; Central America
550,Cote d'Ivoire,UF Republic of the Ivory Coast; Ivory Coast,"","",BT Francophone Africa; West Africa
10,Croatia,UF Republic of Croatia,"","",BT Mediterranean region; Balkans
565,Cuba,UF Republic of Cuba,"","",BT Latin America; Caribbean
154,Cyprus,UF Republic of Cyprus,"","",BT Mediterranean region
448,Czech Republic,UF Czechoslovak Republic; Czech Socialist Republic,SN Part of CSFR till 31.12.1992; Use for works referring to the period after January 1993; for works relating to the period prior to January 1993 when Czechoslovakia existed as a political entity USE Czechoslovakia.,"",BT Eastern European region
604,Czechoslovakia,UF Czechoslovak Socialist Republic; Czech and Slovak Federal Republic; CSFR,SN Only to be used for documents published before 31.12.1992; later use <33095> or <33096>; Use for documents relating to the period when Czechoslovakia existed as a political entity and where a more specific designation cannot be ascertained.; Use for works referring to the period prior to January 1993 when Czechoslovakia existed as a political entity; for works referring to the period after January 1993 USE Czech Republic OR Slovakia.,"",BT Eastern European region
24397,Danube River,"","","",BT Bulgaria; Romania; Hungary; rivers; Austria; Serbia
23701,Delaware,"","","",BT North Eastern States (USA)
364,Democratic People's Republic of Korea,"UF Korea Democratic People's Republic; North Korea; DPRK (Democratic People's Republic of Korea); Korea, North","","",BT East Asia
43,Democratic Republic of the Congo,"UF Katanga; Congo Orientale; Congo (Democratic Republic); Zaire; Shaba (Zaire); Kinshasa; Kivu (Zaire); Bandunda; Congo (Kinshasa); Kasai (Zaire); Equateur (Zaire); Congo (Leopoldville); Belgian Congo; Congo Kinshasa; Congo Free State; Congo Leopoldville; DRC; Congo Democratic Republic; DR Congo; Democratic Republic of Congo; Congo, Democratic Republic of","","",BT Francophone Africa; Central Africa
427,Democratic Yemen,UF Aden; Yemen People's Democratic Republic; People's Democratic Republic of Yemen; Southern Yemen,"SN To be used for documents published before May 1990 or dealing with the situation in the region until May 21, 1990; later use <8483>. 
On May 22, 1990, the People's Democratic Republic of Yemen (Democratic Yemen) and the Yemen Arab Republic (North Yemen) merged to form a new country, the Republic of Yemen (Yemen)","DF Source: UNBIS, 2006",BT geographical regions
343,Denmark,UF Kingdom of Denmark; Fyn; Denmark (Jutland); Sjaelland; Bornholm; Denmark (Zealand); Zealand; Denmark (Lolland Falster); Denmark (Fyn); Denmark (Bornholm); Lolland Falster; Jylland; Jutland; Fyn (Denmark),"","",BT Scandinavia
10630,developed countries,UF developed nations; industrial nations; industrialized nations; industrialized countries; advanced nations; economically advanced nations; industrial countries; advanced countries; First World; economically advanced countries,"","DF Countries that have reached a level of economic achievement through an increase of production, per capita income and consumption, and utilization of natural and human resources.",BT countries
1784,developing countries,UF underdeveloped nations; emerging nations; newly industrialized countries; developing nations; nonindustrialized countries; least developed nations; Fourth World; nonindustrialized nations; underdeveloped countries; least developed countries; emerging countries; NIC (newly industrialized countries); LDC (least developed countries); newly industrializing countries; Third world; Less developed countries,"","DF Countries in the process of change directed toward economic growth, that is, an increase in production, per capita consumption, and income.",BT countries
661,Djibouti,UF French Somaliland; Afars and Issas Territory; Issas (and Afars Territory); Republic of Djibouti; French Territory of Afars and Issas; Jibuti; French Territory of the Afars and the Issas,"","",BT Francophone Africa; East Africa
685,Dominica,"","","",BT Caribbean
688,Dominican Republic,"","","",BT Latin America; Caribbean
27268,Durango,"","","",BT Mexico
24817,earth,"",SN The Earth as a planet; for earth as a growing medium use <7156>,"",BT LOCATION
17230,East Africa,"UF Horn of Africa; Africa, East; Eastern Africa","","",BT Africa South of Sahara
24922,East Asia,"UF Eastern Asia; East Asian countries; Far East; Asia, East","","",BT Asia
27379,East China Sea,"","","",BT Northwest Pacific; seas
27613,Eastern Central Atlantic,"UF Atlantic, Eastern Central; Atlantic, Eastern-Central; Atlantic Eastern Central","","",BT Atlantic Ocean
11995,Eastern European region,UF Eastern Europe; Eastern European countries,"","",BT Europe
451,Ecuador,UF Republic of Ecuador,"","",BT Latin America; South America
166,Egypt,UF Arab Republic of Egypt; United Arab Republic,"","",BT Middle East; North Africa; Mediterranean region
331,El Salvador,UF Salvador; Republic of El Salvador,"","",BT Latin America; Central America
7171,Emilia Romagna,"","","",BT Italy
8071,England,UF West Midlands of England; East Midlands of England; Yorkshire and Lancashire,"","",BT Great Britain
358,Equatorial Guinea,"UF Republic of Equatorial Guinea; Rio Muni; Fernando Po; Spanish Guinea; Guinea, Equatorial","","",BT Central Africa
109,Eritrea,UF the State of Eritrea,SN Before May 1993 part of Ethiopia,"",BT East Africa
31345,Espirito Santo,"","","",BT Brazil
463,Estonia,UF Estonian SSR; Estonian Soviet Socialist Republic,SN Part of USSR before 1992; for documents dealing with that region before the change of status use <2672>; Part of USSR till 1991; to be used for documents dealing with that region before the change of status; later use <10672>,"",BT USSR
754,Ethiopia,UF Abyssinia,"","",BT East Africa
2644,Europe,UF European continent,"","",BT geographical regions
2752,European Union,UF EU (European Union); European Economic Community (EEC); EEC (European Union); European Common Market; European Economic Area; EU; EEC; European communities; Common Market; EC; European economic communities,"",DF An economic association of European countries founded by the Treaty of Rome in 1957 as a common market for six nations.  It was known as the European Community through 1993.  Its goals are a single market for goods and services without any economic barriers and a common currency with one monetary authority.; An economic association of European countries founded by the Treaty of Rome in 1957 as a common market for six nations. It was known as the European Community through 1993. Its goals are a single market for goods and services without any economic barriers and a common currency with one monetary authority.,BT organizations
18700,European Union countries,UF EU countries; EC countries; EU Member States,"","",BT countries
277,Falkland Islands,UF Malvinas; Falkland Islands Dependencies; South Sandwich Islands; South Georgia; Falkland Islands (Malvinas); Islas Malvinas; Falkland Islands (Islas Malvinas),"","",BT South America
730,Faroe Islands,UF Faeroe Islands,"","",BT Denmark
589,Federal Republic of Germany,"UF FRG; German Federal Republic; Germany (West); West Germany; Germany, Federal Republic of",SN To be used for documents published before 3 October 1990 or dealing with that part of Germany before that date; later use <3245>; Use for works relating to the period prior to October 1990 when the German Federal Republic existed as a political entity; For works relating to the period after October 1990 USE Germany.,"",BT Germany
361,Fiji,UF Republic of Fiji; Republic of the Fiji Islands,"","",BT Pacific Islands
73,Finland,UF Republic of Finland,"","",BT Scandinavia
4510,Florida,"","","",BT South Eastern States (USA)
100,Former Yugoslav Republic of Macedonia,"UF The Former Yugoslav Republic of Macedonia; Macedonia; FYROM; Macedonia, The Former Yugoslav Republic of; Republic of Macedonia",SN The Former Yugoslav Republic of Macedonia,"",BT Mediterranean region; Balkans
619,France,UF Upper Normandy; Basse-Normande; Normandy; French Republic; Limousin (France); Franche Comte; Bretagne; Haute-Normandie; Bourgogne,"","",BT Mediterranean region; Western Europe
27691,Francophone Africa,UF French speaking Africa,"","",BT Africa
196,French Guiana,UF French Guyana,"","",BT South America
28750,French West Indies,UF St Martin; French Antilles; Saint Martin,"","",BT Caribbean
24565,Friuli Venezia Giulia,UF Friuli-Venezia Giulia,"","",BT Italy
17287,Fujian,UF Fukien; China (Fukien),"","",BT China
424,Gabon,UF Gabonese Republic,"","",BT Francophone Africa; Central Africa
97,Gambia,UF Republic of The Gambia; The Gambia,"","",BT West Africa
25852,Gansu,UF Kansu; China (Kansu),"","",BT China
17689,Georgia,UF Georgia (USA),SN For the Caucasian country use 'Republic of Georgia'.,"",BT South Eastern States (USA)
217,German Democratic Republic,"UF Eastern Germany; DDR; Germany (East); Germany, Democratic Republic of; East Germany",SN Autonomous till 3 October 1990; to be used for documents published before this date or dealing with that part of Germany before that date; later use <3245>; Use for documents relating to the period when the German Democratic Republic existed as a political entity.; Use for works relating to the period prior to October 1990 when the German Democratic Republic existed as a political entity; For works relating to the period after October 1990 USE Germany.,"",BT Germany
601,Germany,UF Bayern; Saarland,SN For documents published after 3 October 1990; before that date use <10767> or <3244>; Use for works referring to the period after October 1990 when the German Federal Republic and German Democratic Republic were united as a political entity; For works referring to the period prior to October 1990 USE German Federal Republic OR German Democratic Republic.,"",BT Western Europe
643,Ghana,UF Republic of Ghana; Gold Coast,"","",BT West Africa
127,Gibraltar,"","","",BT Mediterranean region
25090,Goias,"","","",BT Brazil
13963,Great Britain,UF GB,"","",BT United Kingdom
733,Greece,UF Hellenic Republic; Chios (Greece),"","",BT Mediterranean region; Western Europe; Balkans
29626,Greenland,"","","",BT North America; Denmark
22,Grenada,"","","",BT Caribbean
17533,Guadeloupe,UF French West Indies (Guadeloupe); Basse-Terre,"","",BT French West Indies
211,Guam,UF Territory of Guam,"","",BT Oceania; islands
29491,Guanajuato,"","","",BT Mexico
14782,Guangdong,UF Kwangtung; Kwantung; China (Kwantung),"","",BT China
28759,Guangxi (Zhuang),UF Kwangi Chuang; China (Kwangsi); Kwangsi; Guangxi Zhuangzu Zizhiqu; Guangxi,"","",BT China
640,Guatemala,UF Republic of Guatemala,"","",BT Latin America; Central America
262,Guinea,UF Republic of Guinea; Guinea-Conakry,"","",BT Francophone Africa; West Africa
652,Guinea-Bissau,UF Republic of Guinea-Bissau; Portuguese Guinea,"","",BT West Africa
26512,Guizhou,UF Kweichow; China (Kweichow),"","",BT China
28402,Gujarat,"","","",BT India
367,Guyana,UF Republic of Guyana; British Guyana; British Guiana,"","",BT South America
30637,Hainan,UF Hainan Dao; Hainan Island,"","",BT China
760,Haiti,UF Republic of Haiti,"","",BT Caribbean
30607,Hamburg,"","","",BT Germany
28387,Haryana,"","","",BT India
11191,Hawaii,UF Hawaiian Islands; Sandwich Islands (Pacific Ocean),SN Use for the group of Hawaiian islands located in the Pacific Ocean;  For the individual island of Hawaii USE Hawaii (island).,"",BT Pacific Islands
616,Heard and McDonald Islands,UF Heard Island and McDonald Islands; Heard & McDonald Islands,"","",BT Oceania
28381,Hebei,UF Hopei; China (Hopei),"","",BT China
26359,Heilongjiang,UF Heilungkiang; China (Heilungkiang),"","",BT China
24742,Henan,UF Honan,"","",BT China
11362,Hesse,"","","",BT Germany
26128,Hidalgo,"","","",BT Mexico
29479,Himachal Pradesh,"","","",BT India
27352,Himalayan region,UF Himalaya,"","",BT South Asia
121,Honduras,UF Republic of Honduras,"","",BT Latin America; Central America
202,Hong Kong,"UF Hong Kong SAR; Xianggang; Hong Kong Special Administrative Region; Hong Kong Special Administrative Region of China; Hong Kong, China",SN For data dealing with this region before the change of status in July 1997; after the change of status use <37745>,"",BT China
23551,Hubei,UF Hupei; China (Hupei),"","",BT China
25816,Hunan,UF China (Hunan),"","",BT China
64,Hungary,UF Hungarian People's Republic,"","",BT Eastern European region
280,Iceland,UF Republic of Iceland,"","",BT Scandinavia
7393,Idaho,"","","",BT Western States of USA
26005,Ile de France,"","","",BT France
7768,Illinois,"","","",BT North Central States of USA
511,India,"UF Republic of India; IN (ISO 3166); Chennai, Tamil Nadu; Arunachal Pradesh; Lakshadweep; Pondicherry; Chandigarh; Mizoram; Bihar; Meghalaya; Delhi; Dadra and Nagar Haveli; Goa, Daman and Diu; Bengal, West; Kashmir; Manipur; Tripura; Jammu and Kashmir; Nagaland; Punjab, Indian","","",BT South Asia
21517,Indian Ocean,"","","",BT oceans
11173,Indiana,"",SN The U.S. state. For the nematode genus use 'Indiana (Nematoda)'.,"",BT North Central States of USA
199,Indonesia,"UF Republic of Indonesia; Maluku; Lombok; Sunda Islands; Sunda Islands, Lesser; Java (Indonesia); Moluccas; Malay Archipelago; Madura; Timor, Portuguese; Timur; Flores (Indonesia)","","",BT South East Asia
8794,Iowa,"","","",BT North Central States of USA
694,Iran,"UF Islamic Republic of Iran; Iran Islamic Republic; Iran, Islamic Republic of; Iran (Islamic Republic of)","","",BT Middle East; Southwestern Asia
697,Iraq,UF Republic of Iraq,"","",BT Middle East
29815,Irian Jaya,UF Irian Barat; West Irian; West New Guinea,"","",BT Indonesia
700,Irish Republic,UF Ireland; Eire; Leinster; Munster; Connacht; Munster (Irish Republic),"","",BT Western Europe
304,Israel,"","","",BT Middle East; Mediterranean region
25777,Italian Marches,UF Marches (Italy),"","",BT Italy
547,Italy,UF Italian Republic; Molise; Emilia-Romagna; South Tyrol; South Tirol; Valle d'Aosta,"","",BT Mediterranean region
18262,Jalisco,"","","",BT Mexico
1,Jamaica,"","","",BT Caribbean
142,Japan,UF Kyushu; Honshu; Hokkaido; Shikoku,"","",BT Pacific Islands; East Asia
8023,Java,UF Djawa; Jawa,"","",BT Indonesia
12485,Jersey,"","","",BT United Kingdom
21286,Jiangsu,UF Kiangsu; China (Kiangsu),"","",BT China
29962,Jiangxi,UF Kiangsi; China (Kiangsi),"","",BT China
31651,Jilin,UF Kirin; China (Kirin),"","",BT China
130,Jordan,UF Hashemite Kingdom of Jordan,"","",BT Middle East
17116,Kalimantan,"","","",BT Indonesia; Borneo
10480,Kansas,"","","",BT North Central States of USA
24991,Karnataka,UF Mysore,"","",BT India
307,Kazakhstan,UF Kazakh SSR; Kazakstan; Republic of Kazakstan; Republic of Kazakhstan,SN Part of USSR before 1992; for documents dealing with that region before the change of status use <4081>; Part of USSR till 1991; to be used for documents dealing with that region before the change of status; later use <11952>,"",BT USSR; Central Asia
11506,Kentucky,"","","",BT South Eastern States (USA)
439,Kenya,UF Republic of Kenya,"","",BT East Africa
28870,Kerala,"","","",BT India
187,Kiribati,UF Gilbert Islands; Line Islands; Christmas Island (Pacific Ocean); Ocean Island; Phoenix Islands; Christmas Islands (Pacific); Republic of Kiribati; Kiritimati (Christmas Island); Christmas Island (Line Islands); Christmas Island (Pacific),"","",BT Pacific Islands
316,Kuwait,UF State of Kuwait,"","",BT Middle East
250,Kyrgyzstan,UF Kirghizia; Republic of Kyrgyzstan; Kirgiz SSR; Kirgiz Soviet Socialist Republic; Kyrgyz Republic,SN Part of USSR before 1992; for documents dealing with that region before the change of status use <4106>; Part of USSR till 1991; to be used for documents dealing with that region before the change of status; later use <33243>,"",BT USSR; Central Asia
31819,La Rioja,"","","",BT Argentina
30934,Lake Tanganyika,"","","",BT Zambia; Democratic Republic of the Congo; Burundi; Tanzania; lakes
13366,Languedoc Roussillon,"","","",BT France
532,Laos,UF Lao; Lao People's Democratic Republic; Lao Peoples Democratic Republic (PDR),"","",BT South East Asia
32731,Lara,"","","",BT Venezuela
4753,Latin America,"UF America, Latin","","DF Collectively, those countries in the Western Hemisphere in which  the predominant language is a Romance (French, Spanish, Portuguese) language.",BT Americas
17272,Latium,UF Lazio,"","",BT Italy
34,Latvia,UF Latvian SSR; Latvian Soviet Socialist Republic,SN Part of USSR before 1992; for documents dealing with that region before the change of status use <4224>; Part of USSR till 1991; to be used for documents dealing with that region before the change of status; later use <12103>,"",BT USSR
625,Lebanon,UF Lebanese Republic; Lebanese,"","",BT Middle East; Mediterranean region
646,Lesotho,UF Kingdom of Lesotho; Basutoland,"","",BT Southern Africa
30937,Liaoning,UF China (Liaoning),"","",BT China
337,Liberia,UF Republic of Liberia,"","",BT West Africa
724,Libya,UF Socialist People's Libyan Arab Jama; Libyan Arab Jamahiriya; Libyan Arab Republic,"SN On 16 September 2011, the National Transitional Council requested, via the Protocol and Liaison Service, that the form ""Libya"", previously not in use at the UN, replace both the earlier official and short forms (respectively, the Socialist People's Libyan Arab Jamahiriya and Libyan Arab Jamahiriya (the)). (Source: UNTERM, 2011)","",BT North Africa; Mediterranean region
721,Liechtenstein,UF Principality of Liechtenstein,"","",BT Western Europe
26737,Liguria,"","","",BT Italy
29869,Limousin,"","","",BT France
313,Lithuania,UF Lithuanian SSR; Lithuanian Soviet Socialist Republic,SN Part of USSR before 1992; for documents dealing with that region before the change of status use <4390>; Part of USSR till 1991; to be used for documents dealing with that region before the change of status; later use <12204>,"",BT USSR
12949,Lombardy,"","","",BT Italy
21661,Lorraine,"","","",BT France
6898,Louisiana,"","","",BT South Eastern States (USA)
30520,Lower Normandy,"","","",BT France
7282,Lower Saxony,UF Niedersachsen,"","",BT Germany
751,Luxembourg,UF Grand Duchy of Luxembourg,"","",BT Western Europe
583,Macau,UF Macao,"SN Use for materials covering the period prior to 20 December 1999, the date when the territory of Macau, then under Portuguese administration, was returned to China and became the Macao Special Administrative Region. (Source: UNBIS Thesaurus, 2010); after the change of status use: Macao (China).","",BT East Asia
742,Madagascar,UF Democratic Republic of Madagascar; Malagasy Republic,"","",BT Francophone Africa; East Africa
31294,Madhya Pradesh,"","","",BT India
26080,Maharashtra,"","","",BT India
15970,Maine,"","","",BT New England States of USA
667,Malawi,UF Republic of Malawi; Nyasaland,"","",BT Southern Africa; East Africa
